"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2023","6,872.500","7,100.000","7,100.000","6,870.170","","0.00%"
"06/26/2023","6,872.500","6,840.545","7,100.000","6,813.195","","-0.04%"
"06/23/2023","6,875.000","7,100.000","7,100.000","6,825.045","","0.36%"
"06/22/2023","6,850.000","6,851.585","7,100.000","6,808.100","","0.85%"
"06/21/2023","6,792.500","7,100.000","7,100.000","6,776.925","","-1.66%"
"06/20/2023","6,906.970","7,100.000","7,100.000","6,906.970","","4.81%"
"06/19/2023","6,590.000","6,767.787","7,100.000","6,590.000","","1.38%"
"06/16/2023","6,500.000","6,688.405","6,688.405","5,543.085","","-1.52%"
"06/15/2023","6,600.000","6,158.747","6,605.065","5,543.085","","0.00%"
"06/14/2023","6,600.000","5,725.000","6,600.000","5,633.123","","19.07%"
"06/13/2023","5,543.080","5,247.099","5,730.223","5,247.099","","7.01%"
"06/12/2023","5,180.000","5,086.331","5,310.531","5,086.331","","5.71%"
"06/09/2023","4,900.000","4,877.500","5,177.276","4,826.060","","0.51%"
"06/08/2023","4,875.000","3,673.772","5,177.435","3,673.772","","76.63%"
"06/07/2023","2,760.000","2,755.000","3,820.720","2,755.000","","1.28%"
"06/06/2023","2,725.000","2,670.022","2,880.730","2,670.022","","0.00%"
"06/05/2023","2,725.000","2,670.022","2,741.918","2,645.520","","4.41%"
"06/02/2023","2,610.000","2,584.500","2,776.820","2,572.962","","1.79%"
"06/01/2023","2,564.000","2,577.056","2,715.610","2,043.980","","0.00%"
"05/31/2023","2,564.000","1,989.112","2,584.567","1,970.564","","28.84%"
"05/30/2023","1,990.000","1,931.708","2,008.548","1,915.343","","-2.64%"
"05/29/2023","2,043.980","2,008.975","2,043.980","2,008.975","","5.63%"
"05/26/2023","1,935.000","1,886.500","2,008.975","1,863.241","","2.49%"
"05/25/2023","1,888.000","1,888.000","1,888.000","1,888.000","","0.00%"
"05/24/2023","1,888.000","1,448.939","1,974.905","1,448.939","","30.21%"
"05/23/2023","1,450.000","1,496.960","1,514.135","1,442.731","","0.00%"
"05/22/2023","1,450.000","1,405.000","1,450.000","1,405.000","","-3.14%"
"05/19/2023","1,496.960","1,471.165","1,496.960","1,471.165","","3.76%"
"05/11/2023","1,442.730","1,166.000","1,442.730","1,166.000","","28.93%"
"05/09/2023","1,118.975","1,118.975","1,118.975","1,118.975","","1.30%"
"05/08/2023","1,104.581","1,104.581","1,104.581","1,104.581","","2.34%"
"05/04/2023","1,079.363","1,079.363","1,079.363","1,079.363","","1.36%"
"05/03/2023","1,064.854","1,064.854","1,064.854","1,064.854","","2.84%"
"05/02/2023","1,035.443","1,047.443","1,047.443","1,035.443","","0.33%"
"04/28/2023","1,032.000","1,033.603","1,065.345","1,021.818","","-0.05%"
"04/27/2023","1,032.500","1,021.207","1,043.784","1,011.114","","1.21%"
"04/26/2023","1,020.186","1,021.207","1,027.593","1,008.614","","1.01%"
"04/25/2023","1,010.000","1,000.000","1,010.000","1,000.000","","1.00%"
"04/24/2023","1,000.000","1,001.000","1,001.000","1,000.000","","-0.10%"
"04/21/2023","1,001.000","1,000.023","1,007.702","993.511","","0.00%"
"04/20/2023","1,001.000","989.068","1,007.511","975.029","","1.31%"
"04/19/2023","988.079","978.949","989.068","978.949","","1.08%"
"04/18/2023","977.500","977.500","977.500","977.500","","0.00%"
"04/17/2023","977.500","969.010","988.485","954.490","","0.88%"
"04/14/2023","969.000","963.553","985.521","951.758","","0.67%"
"04/13/2023","962.590","959.311","963.553","959.311","","1.43%"
"04/12/2023","949.000","949.827","969.176","934.388","","0.01%"
"04/11/2023","948.877","949.827","949.827","949.827","","0.68%"
"04/10/2023","942.500","944.000","944.000","942.500","","-0.16%"
"04/07/2023","944.000","944.000","944.500","943.500","","0.00%"
"04/06/2023","944.000","944.714","960.495","928.829","","0.05%"
"04/05/2023","943.500","932.487","959.385","920.710","","0.89%"
"04/04/2023","935.187","932.487","936.123","932.487","","0.39%"
"04/03/2023","931.555","916.658","932.487","916.658","","0.76%"
"03/29/2023","924.500","924.500","924.500","924.500","","0.92%"
"03/28/2023","916.053","916.658","916.970","916.658","","0.03%"
"03/27/2023","915.741","916.113","916.658","916.113","","0.06%"
"03/24/2023","915.197","915.864","916.113","915.864","","0.03%"
"03/23/2023","914.948","915.182","915.864","915.182","","0.07%"
"03/22/2023","914.267","914.955","915.182","914.955","","0.02%"
"03/21/2023","914.040","914.468","914.955","914.468","","0.05%"
"03/20/2023","913.553","913.667","914.468","913.667","","0.01%"
"03/17/2023","913.500","913.136","928.877","897.525","","0.05%"
"03/16/2023","913.000","911.817","928.612","896.864","","0.11%"
"03/14/2023","912.000","910.945","927.452","895.928","","0.22%"
"03/13/2023","910.034","910.356","910.945","910.356","","0.06%"
"03/10/2023","909.445","908.631","910.356","908.631","","-0.33%"
"03/09/2023","912.500","907.924","926.361","894.416","","0.00%"
"03/08/2023","912.500","907.500","926.008","890.310","","0.94%"
"03/07/2023","904.000","903.562","919.405","888.733","","0.00%"
"03/06/2023","904.000","899.426","918.829","886.663","","0.50%"
"03/03/2023","899.500","896.903","914.263","883.400","","-0.06%"
"03/02/2023","900.000","898.000","913.003","879.764","","0.28%"
"03/01/2023","897.500","889.133","910.871","877.511","","1.13%"
"02/28/2023","887.500","885.962","904.566","870.924","","0.00%"
"02/27/2023","887.500","884.232","902.538","870.058","","0.17%"
"02/24/2023","886.000","881.751","898.174","868.317","","1.37%"
"02/23/2023","874.000","874.000","884.935","867.743","","0.00%"
"02/22/2023","874.000","871.136","886.868","863.504","","0.34%"
